target	acc	tlen	query	qlen	evalue
Phage-tail_3	PF13550.6	164	DT2.contig1_3	1018	1.2e-05
DUF1833	PF08875.11	150	DT2.contig1_5	161	3.2e-40
TMP_2	PF06791.13	205	DT2.contig1_7	899	6e-62
Tape_meas_lam_C	PF09718.10	76	DT2.contig1_7	899	1.1e-08
Phage_tail_T	PF06223.12	100	DT2.contig1_8	106	5.4e-35
Phage_TAC_2	PF06894.11	126	DT2.contig1_9	132	4.4e-18
Phage_TTP_12	PF16461.5	134	DT2.contig1_10	161	2.1e-55
Phage_tail_3	PF08813.11	165	DT2.contig1_10	161	0.00047
Phage_tail_U	PF06141.11	132	DT2.contig1_11	133	6.7e-48
Minor_tail_Z	PF06763.11	190	DT2.contig1_12	184	1.7e-62
Gifsy-2	PF13856.6	99	DT2.contig1_13	98	5.5e-13
DUF2190	PF09956.9	102	DT2.contig1_14	109	1.9e-16
CLP_protease	PF00574.23	182	DT2.contig1_15	672	5.2e-39
Mu-like_gpT	PF10124.9	289	DT2.contig1_15	672	2.1e-08
Mu-like_gpT	PF10124.9	289	DT2.contig1_15	672	2.1e-08
SDH_sah	PF01972.16	286	DT2.contig1_15	672	7.8e-06
Phage_portal_2	PF05136.13	362	DT2.contig1_16	500	8.3e-80
ZapB	PF06005.12	71	DT2.contig1_17	72	0.062
Terminase_GpA	PF05876.12	558	DT2.contig1_18	703	6.4e-174
DUF4379	PF14311.6	56	DT2.contig1_18	703	0.01
DUF1441	PF07278.11	149	DT2.contig1_19	164	3.6e-49
HTH_30	PF13556.6	59	DT2.contig1_19	164	0.017
Tudor-knot	PF11717.8	55	DT2.contig1_20	62	0.018
SmpA_OmlA	PF04355.13	71	DT2.contig1_21	150	1.3e-05
DUF3192	PF11399.8	101	DT2.contig1_21	150	0.0036
CAP_assoc_N	PF14504.6	140	DT2.contig1_21	150	0.021
DUF3552	PF12072.8	201	DT2.contig1_23	92	0.00012
ATP-synt_E	PF05680.12	96	DT2.contig1_23	92	0.0021
Glyco_hydro_108	PF05838.12	85	DT2.contig1_25	181	7.1e-25
PG_binding_3	PF09374.10	76	DT2.contig1_25	181	2.2e-22
Phage_holin_3_1	PF05106.12	99	DT2.contig1_26	118	2.5e-26
N6_N4_Mtase	PF01555.18	231	DT2.contig1_27	351	5.4e-39
MarR_2	PF12802.7	62	DT2.contig1_28	65	0.00014
DprA_WH	PF17782.1	61	DT2.contig1_28	65	0.00049
TrmB	PF01978.19	68	DT2.contig1_28	65	0.0029
HTH_20	PF12840.7	61	DT2.contig1_28	65	0.011
Phage_antiter_Q	PF06323.11	222	DT2.contig1_29	233	1.5e-53
