target	acc	tlen	query	qlen	evalue
CAP	PF00188.26	126	DT3.contig1_3	354	2.9e-05
T4SS	PF07996.11	197	DT3.contig1_4	224	5.8e-46
TrbL	PF04610.14	215	DT3.contig1_5	328	2.3e-34
VirB8	PF04335.13	214	DT3.contig1_6	238	1.2e-23
T4BSS_DotI_IcmL	PF11393.8	180	DT3.contig1_6	238	0.022
CagX	PF03524.15	211	DT3.contig1_7	273	3.4e-50
TrbI	PF03743.14	187	DT3.contig1_8	419	1.2e-42
T2SSE	PF00437.20	273	DT3.contig1_9	367	2.8e-57
AAA_18	PF13238.6	130	DT3.contig1_9	367	8.5e-05
AAA_16	PF13191.6	170	DT3.contig1_9	367	0.00012
ABC_tran	PF00005.27	137	DT3.contig1_9	367	0.00031
Zeta_toxin	PF06414.12	199	DT3.contig1_9	367	0.00044
FtsK_SpoIIIE	PF01580.18	243	DT3.contig1_9	367	0.0014
AAA_22	PF13401.6	137	DT3.contig1_9	367	0.0017
TrwB_AAD_bind	PF10412.9	386	DT3.contig1_9	367	0.0022
T4SS-DNA_transf	PF02534.14	469	DT3.contig1_10	645	8.9e-109
TraG-D_C	PF12696.7	126	DT3.contig1_10	645	3e-27
TrwB_AAD_bind	PF10412.9	386	DT3.contig1_10	645	6.9e-23
LPD7	PF18821.1	94	DT3.contig1_11	844	9.5e-18
Mrr_cat	PF04471.12	115	DT3.contig1_13	229	5.1e-27
Mrr_cat_2	PF13156.6	127	DT3.contig1_13	229	0.00012
Abhydrolase_5	PF12695.7	164	DT3.contig1_13	229	0.036
SRAP	PF02586.14	219	DT3.contig1_15	217	1.3e-25
DUF3701	PF12482.8	93	DT3.contig1_16	594	3.6e-20
Phage_integrase	PF00589.22	172	DT3.contig1_16	594	2.4e-15
Pkinase_Tyr	PF07714.17	259	DT3.contig2_1	460	5.9e-47
Pkinase	PF00069.25	264	DT3.contig2_1	460	1.3e-42
NMO	PF03060.15	331	DT3.contig2_3	52	0.026
C2	PF00168.30	103	DT3.contig2_6	166	6.2e-12
LRR_4	PF12799.7	44	DT3.contig2_10	726	0.00027
LRR_8	PF13855.6	61	DT3.contig2_10	726	0.00029
zf-MYND	PF01753.18	38	DT3.contig2_12	658	8.5e-10
Polbeta	PF18765.1	93	DT3.contig2_15	53	0.0015
NTP_transf_2	PF01909.23	95	DT3.contig2_15	53	0.0091
MMR_HSR1	PF01926.23	114	DT3.contig2_17	220	1.1e-06
AAA_16	PF13191.6	170	DT3.contig2_17	220	0.00055
AAA_29	PF13555.6	61	DT3.contig2_17	220	0.0007
AAA_22	PF13401.6	137	DT3.contig2_17	220	0.0026
ABC_tran	PF00005.27	137	DT3.contig2_17	220	0.0028
RsgA_GTPase	PF03193.16	167	DT3.contig2_17	220	0.0031
NGP1NT	PF08153.12	130	DT3.contig2_18	283	0.072
YqeY	PF09424.10	143	DT3.contig4_4	95	0.093
WD40	PF00400.32	38	DT3.contig5_1	251	1.1e-13
ANAPC4_WD40	PF12894.7	92	DT3.contig5_1	251	1.5e-09
WD40_like	PF17005.5	301	DT3.contig5_1	251	4.7e-08
SRP54	PF00448.22	196	DT3.contig5_3	495	1.9e-55
SRP54_N	PF02881.19	75	DT3.contig5_3	495	9e-08
MeaB	PF03308.16	267	DT3.contig5_3	495	1.8e-05
CbiA	PF01656.23	128	DT3.contig5_3	495	0.00017
AAA_22	PF13401.6	137	DT3.contig5_3	495	0.00051
MMR_HSR1	PF01926.23	114	DT3.contig5_3	495	0.0013
AAA_30	PF13604.6	192	DT3.contig5_3	495	0.0015
Fer4_NifH	PF00142.18	271	DT3.contig5_3	495	0.0029
AAA_16	PF13191.6	170	DT3.contig5_3	495	0.0045
Peptidase_A22B	PF04258.13	284	DT3.contig5_4	374	2.3e-48
Peptidase_A22B	PF04258.13	284	DT3.contig5_4	374	2.3e-48
SPP	PF06550.11	283	DT3.contig5_4	374	3.4e-07
Mito_carr	PF00153.27	97	DT3.contig5_5	217	6.5e-46
Mito_carr	PF00153.27	97	DT3.contig5_5	217	6.5e-46
Mito_carr	PF00153.27	97	DT3.contig5_6	81	2.1e-09
DHR-2	PF06920.13	528	DT3.contig5_10	1735	3.7e-72
DOCK-C2	PF14429.6	195	DT3.contig5_10	1735	2.1e-10
MiaE	PF06175.11	240	DT3.contig6_2	219	6.7e-74
MiaE	PF06175.11	240	DT3.contig6_2	219	6.7e-74
DUF2202	PF09968.9	162	DT3.contig6_2	219	0.022
Aconitase_2_N	PF06434.13	204	DT3.contig6_3	868	3.2e-99
Aconitase_B_N	PF11791.8	154	DT3.contig6_3	868	1.5e-66
Aconitase	PF00330.20	461	DT3.contig6_3	868	1.7e-42
RraA-like	PF03737.15	150	DT3.contig6_4	165	1.1e-44
GDPD	PF03009.17	259	DT3.contig6_5	645	3.7e-33
GPDPase_memb	PF10110.9	320	DT3.contig6_5	645	6e-18
GDPD_2	PF13653.6	30	DT3.contig6_5	645	3.1e-08
G_glu_transpept	PF01019.21	512	DT3.contig6_6	596	9.3e-143
PPDK_N	PF01326.19	328	DT3.contig6_7	795	3.3e-117
PEP-utilizers_C	PF02896.18	294	DT3.contig6_7	795	2.4e-66
PEP-utilizers	PF00391.23	73	DT3.contig6_7	795	2.4e-27
Kinase-PPPase	PF03618.14	255	DT3.contig6_8	278	1.5e-76
Pribosyltran	PF00156.27	159	DT3.contig6_9	193	1.5e-20
PRTase_2	PF15609.6	190	DT3.contig6_9	193	0.017
Homez	PF11569.8	57	DT3.contig7_1	108	5.9e-07
Homeodomain	PF00046.29	57	DT3.contig7_1	108	1.3e-06
Homeobox_KN	PF05920.11	40	DT3.contig7_1	108	0.00014
Pkinase	PF00069.25	264	DT3.contig7_4	281	2e-58
Pkinase_Tyr	PF07714.17	259	DT3.contig7_4	281	3.2e-36
APH	PF01636.23	240	DT3.contig7_4	281	2.4e-07
RIO1	PF01163.22	188	DT3.contig7_4	281	3e-05
Kdo	PF06293.14	207	DT3.contig7_4	281	0.00038
Haspin_kinase	PF12330.8	367	DT3.contig7_4	281	0.00053
Kinase-like	PF14531.6	288	DT3.contig7_4	281	0.0047
Seadorna_VP7	PF07387.11	308	DT3.contig7_4	281	0.006
