target	acc	tlen	query	qlen	evalue
Gp_dh_C	PF02800.20	158	DB2.contig1_1	337	8e-62
Gp_dh_N	PF00044.24	101	DB2.contig1_1	337	1.9e-39
DapB_N	PF01113.20	124	DB2.contig1_1	337	8.2e-05
2-Hacid_dh_C	PF02826.19	178	DB2.contig1_1	337	0.02
HTH_18	PF12833.7	81	DB2.contig1_2	327	1.2e-20
DJ-1_PfpI	PF01965.24	165	DB2.contig1_2	327	5e-19
HTH_AraC	PF00165.23	42	DB2.contig1_2	327	4.9e-18
HTH_AraC	PF00165.23	42	DB2.contig1_2	327	4.9e-18
DUF2255	PF10012.9	115	DB2.contig1_3	124	5.6e-40
Peptidase_S15	PF02129.18	269	DB2.contig1_4	360	1.2e-08
Peptidase_S9	PF00326.21	212	DB2.contig1_4	360	2e-08
Abhydrolase_1	PF00561.20	257	DB2.contig1_4	360	3.9e-08
DLH	PF01738.18	217	DB2.contig1_4	360	9.6e-07
AXE1	PF05448.12	317	DB2.contig1_4	360	1.3e-05
BAAT_C	PF08840.11	213	DB2.contig1_4	360	6.9e-05
RMMBL	PF07521.12	62	DB2.contig1_4	360	0.00016
DUF1100	PF06500.11	411	DB2.contig1_4	360	0.0021
AraC_N	PF06719.13	148	DB2.contig1_5	310	7.7e-42
HTH_18	PF12833.7	81	DB2.contig1_5	310	1.9e-22
HTH_AraC	PF00165.23	42	DB2.contig1_5	310	3.2e-13
HTH_AraC	PF00165.23	42	DB2.contig1_5	310	3.2e-13
DeoRC	PF00455.22	160	DB2.contig1_6	258	5.2e-47
HTH_DeoR	PF08220.12	57	DB2.contig1_6	258	6.8e-18
HTH_11	PF08279.12	55	DB2.contig1_6	258	1.9e-06
GntR	PF00392.21	64	DB2.contig1_6	258	3.3e-06
HTH_5	PF01022.20	47	DB2.contig1_6	258	5.2e-05
HTH_20	PF12840.7	61	DB2.contig1_6	258	0.00041
MarR_2	PF12802.7	62	DB2.contig1_6	258	0.00054
HTH_24	PF13412.6	48	DB2.contig1_6	258	0.0027
FGGY_N	PF00370.21	245	DB2.contig1_7	502	6.7e-63
FGGY_C	PF02782.16	198	DB2.contig1_7	502	3.9e-24
DeoC	PF01791.9	235	DB2.contig1_8	238	3.9e-11
Peptidase_M19	PF01244.21	319	DB2.contig1_8	238	0.0035
CutC	PF03932.14	202	DB2.contig1_8	238	0.022
DeoRC	PF00455.22	160	DB2.contig1_9	267	2.4e-40
HTH_DeoR	PF08220.12	57	DB2.contig1_9	267	1.2e-17
HTH_11	PF08279.12	55	DB2.contig1_9	267	2.8e-07
GntR	PF00392.21	64	DB2.contig1_9	267	1.5e-06
MarR_2	PF12802.7	62	DB2.contig1_9	267	0.00026
HTH_Crp_2	PF13545.6	68	DB2.contig1_9	267	0.00029
MarR	PF01047.22	59	DB2.contig1_9	267	0.0003
TrmB	PF01978.19	68	DB2.contig1_9	267	0.00031
HTH_5	PF01022.20	47	DB2.contig1_9	267	0.001
Rrf2	PF02082.20	83	DB2.contig1_9	267	0.0015
HTH_36	PF13730.6	55	DB2.contig1_9	267	0.0028
HTH_29	PF13551.6	63	DB2.contig1_9	267	0.0031
Ribul_P_3_epim	PF00834.19	198	DB2.contig1_10	230	1.5e-58
PfkB	PF00294.24	302	DB2.contig1_11	314	2.7e-62
Phos_pyr_kin	PF08543.12	246	DB2.contig1_11	314	3.3e-14
Carb_kinase	PF01256.17	244	DB2.contig1_11	314	0.0015
MFS_1	PF07690.16	353	DB2.contig1_12	445	6.9e-21
OATP	PF03137.20	546	DB2.contig1_12	445	1.5e-06
OATP	PF03137.20	546	DB2.contig1_12	445	1.5e-06
Sugar_tr	PF00083.24	452	DB2.contig1_12	445	0.0028
Glyoxalase	PF00903.25	128	DB2.contig1_13	130	3e-12
Glyoxalase_4	PF13669.6	109	DB2.contig1_13	130	4e-12
Glyoxalase_3	PF13468.6	176	DB2.contig1_13	130	1.2e-05
DUF1338	PF07063.13	324	DB2.contig1_13	130	0.016
AMP-binding	PF00501.28	423	DB2.contig1_14	519	2.5e-80
AMP-binding_C	PF13193.6	76	DB2.contig1_14	519	7.3e-17
CoA_trans	PF01144.23	217	DB2.contig1_15	531	9e-32
Mal_decarbox_Al	PF16957.5	548	DB2.contig1_15	531	0.019
adh_short_C2	PF13561.6	234	DB2.contig1_16	245	4.4e-68
adh_short	PF00106.25	195	DB2.contig1_16	245	1.3e-62
KR	PF08659.10	180	DB2.contig1_16	245	6e-19
Epimerase	PF01370.21	241	DB2.contig1_16	245	2.7e-05
Thiolase_N	PF00108.23	260	DB2.contig1_17	397	9.9e-81
Thiolase_C	PF02803.18	123	DB2.contig1_17	397	7.2e-43
ketoacyl-synt	PF00109.26	253	DB2.contig1_17	397	7.5e-05
MFS_1	PF07690.16	353	DB2.contig1_18	446	5.9e-38
ATG22	PF11700.8	478	DB2.contig1_18	446	0.081
SGL	PF08450.12	246	DB2.contig1_19	293	1.1e-78
MFS_1	PF07690.16	353	DB2.contig1_20	457	4.1e-46
MFS_1	PF07690.16	353	DB2.contig1_20	457	4.1e-46
Sugar_tr	PF00083.24	452	DB2.contig1_20	457	1.5e-16
MFS_2	PF13347.6	427	DB2.contig1_20	457	2.6e-12
Gly_kinase	PF02595.15	366	DB2.contig1_21	392	1.5e-127
Diacid_rec	PF05651.13	134	DB2.contig1_22	386	9.8e-42
HTH_30	PF13556.6	59	DB2.contig1_22	386	7.4e-13
GGDEF_2	PF17853.1	116	DB2.contig1_22	386	1.5e-09
GAF_2	PF13185.6	138	DB2.contig1_22	386	0.00016
HTH_8	PF02954.19	42	DB2.contig1_22	386	0.0013
NAD_binding_2	PF03446.15	158	DB2.contig1_23	292	2.5e-35
NAD_binding_11	PF14833.6	122	DB2.contig1_23	292	2.1e-14
ApbA	PF02558.16	152	DB2.contig1_23	292	2.6e-07
F420_oxidored	PF03807.17	97	DB2.contig1_23	292	2.7e-07
IlvN	PF07991.12	165	DB2.contig1_23	292	3.8e-06
2-Hacid_dh_C	PF02826.19	178	DB2.contig1_23	292	1.9e-05
NAD_Gly3P_dh_N	PF01210.23	157	DB2.contig1_23	292	4.5e-05
3HCDH_N	PF02737.18	180	DB2.contig1_23	292	0.00055
Shikimate_DH	PF01488.20	138	DB2.contig1_23	292	0.0019
LysR_substrate	PF03466.20	209	DB2.contig1_24	295	2e-38
HTH_1	PF00126.27	60	DB2.contig1_24	295	1.8e-17
TauE	PF01925.19	236	DB2.contig1_25	248	1.7e-32
UTRA	PF07702.13	141	DB2.contig1_26	233	8.1e-33
GntR	PF00392.21	64	DB2.contig1_26	233	5.8e-21
HTH_DeoR	PF08220.12	57	DB2.contig1_26	233	1.3e-05
HTH_11	PF08279.12	55	DB2.contig1_26	233	0.0055
HTH_41	PF14502.6	48	DB2.contig1_26	233	0.0069
PTS_EIIC	PF02378.18	324	DB2.contig1_27	511	6.7e-50
PTS_EIIB	PF00367.20	34	DB2.contig1_27	511	7.2e-11
Glyco_hydro_4	PF02056.16	183	DB2.contig1_28	443	2.3e-59
Glyco_hydro_4C	PF11975.8	208	DB2.contig1_28	443	2e-50
Sugar_tr	PF00083.24	452	DB2.contig1_29	482	4.7e-104
MFS_1	PF07690.16	353	DB2.contig1_29	482	1.3e-34
MFS_1	PF07690.16	353	DB2.contig1_29	482	1.3e-34
TRI12	PF06609.13	599	DB2.contig1_29	482	3.7e-09
PTS_EIIA_2	PF00359.22	144	DB2.contig1_30	148	1.1e-22
CBP_BcsF	PF11120.8	60	DB2.contig1_32	47	0.23
Esterase	PF00756.20	251	DB2.contig1_33	310	5.4e-13
Abhydrolase_6	PF12697.7	220	DB2.contig1_33	310	0.0021
Peptidase_S9	PF00326.21	212	DB2.contig1_33	310	0.0089
EAL	PF00563.20	238	DB2.contig1_34	552	2.5e-71
GGDEF	PF00990.21	161	DB2.contig1_34	552	2e-36
PAS_9	PF13426.7	104	DB2.contig1_34	552	2.6e-12
PAS	PF00989.25	113	DB2.contig1_34	552	9.9e-08
PAS_4	PF08448.10	110	DB2.contig1_34	552	0.00087
PAS_3	PF08447.12	89	DB2.contig1_34	552	0.0012
GGDEF_2	PF17853.1	116	DB2.contig1_34	552	0.0099
ParD_like	PF11903.8	73	DB2.contig1_36	73	7.4e-25
Peptidase_M24	PF00557.24	209	DB2.contig1_37	261	5.5e-49
DIM	PF08194.12	36	DB2.contig1_38	96	0.049
Fimbrial	PF00419.20	154	DB2.contig1_39	188	6.6e-19
FimA	PF16970.5	143	DB2.contig1_39	188	0.0012
PapD_N	PF00345.20	125	DB2.contig1_40	232	1.6e-41
PapD_C	PF02753.17	63	DB2.contig1_40	232	3e-13
Usher	PF00577.20	551	DB2.contig1_41	834	1.8e-167
PapC_N	PF13954.6	146	DB2.contig1_41	834	1.2e-39
PapC_C	PF13953.6	66	DB2.contig1_41	834	5.4e-20
Fimbrial	PF00419.20	154	DB2.contig1_42	335	4.6e-13
GHL10	PF02638.15	311	DB2.contig1_43	431	4.1e-116
Melibiase	PF02065.18	347	DB2.contig1_43	431	8.3e-05
DUF4434	PF14488.6	167	DB2.contig1_43	431	0.0032
HipA_C	PF07804.12	212	DB2.contig1_44	441	3.1e-52
Couple_hipA	PF13657.6	99	DB2.contig1_44	441	2e-24
HTH_3	PF01381.22	55	DB2.contig1_45	89	1.1e-11
HTH_37	PF13744.6	80	DB2.contig1_45	89	1.5e-07
HTH_19	PF12844.7	65	DB2.contig1_45	89	2e-07
HTH_31	PF13560.6	64	DB2.contig1_45	89	4.8e-07
HTH_26	PF13443.6	63	DB2.contig1_45	89	3e-05
Transthyretin	PF00576.21	110	DB2.contig1_46	109	1.9e-24
CarboxypepD_reg	PF13620.6	82	DB2.contig1_46	109	6.4e-06
bMG3	PF11974.8	103	DB2.contig1_46	109	7.6e-05
Big_3_5	PF16640.5	90	DB2.contig1_46	109	0.0021
OHCU_decarbox	PF09349.10	155	DB2.contig1_47	167	9.4e-39
DUF935	PF06074.12	520	DB2.contig1_47	167	0.0096
DUF2336	PF10098.9	262	DB2.contig1_47	167	0.014
Xan_ur_permease	PF00860.20	389	DB2.contig1_48	460	6e-82
FAD_binding_3	PF01494.19	349	DB2.contig1_49	385	3.1e-21
Amino_oxidase	PF01593.24	452	DB2.contig1_49	385	1.9e-07
NAD_binding_8	PF13450.6	68	DB2.contig1_49	385	8.1e-06
Pyr_redox_2	PF07992.14	294	DB2.contig1_49	385	2.1e-05
FAD_binding_2	PF00890.24	417	DB2.contig1_49	385	0.00034
LysR_substrate	PF03466.20	209	DB2.contig1_50	308	3.8e-33
HTH_1	PF00126.27	60	DB2.contig1_50	308	3.5e-18
HTH_50	PF18024.1	50	DB2.contig1_50	308	0.013
Rieske	PF00355.26	89	DB2.contig1_51	346	3.5e-17
Fer2	PF00111.27	78	DB2.contig1_52	325	6.1e-12
NAD_binding_1	PF00175.21	109	DB2.contig1_52	325	2.1e-05
MFS_1	PF07690.16	353	DB2.contig1_53	413	2.4e-33
MFS_1	PF07690.16	353	DB2.contig1_53	413	2.4e-33
Sugar_tr	PF00083.24	452	DB2.contig1_53	413	2.6e-10
Sugar_tr	PF00083.24	452	DB2.contig1_53	413	2.6e-10
Cupin_6	PF12852.7	184	DB2.contig1_54	315	2.6e-31
HTH_18	PF12833.7	81	DB2.contig1_54	315	2.4e-19
HTH_AraC	PF00165.23	42	DB2.contig1_54	315	7e-16
HTH_AraC	PF00165.23	42	DB2.contig1_54	315	7e-16
AraC_binding	PF02311.19	136	DB2.contig1_54	315	8e-05
Cupin_2	PF07883.11	71	DB2.contig1_54	315	0.0023
Cupin_3	PF05899.12	74	DB2.contig1_54	315	0.003
Glyoxalase_3	PF13468.6	176	DB2.contig1_55	252	3.5e-40
3-HAO	PF06052.12	151	DB2.contig1_56	104	3.7e-05
Cupin_2	PF07883.11	71	DB2.contig1_56	104	5.8e-05
cNMP_binding	PF00027.29	89	DB2.contig1_56	104	0.0045
VF530	PF09905.9	63	DB2.contig1_57	88	2.4e-33
DIOX_N	PF14226.6	118	DB2.contig1_58	343	6.1e-38
2OG-FeII_Oxy	PF03171.20	101	DB2.contig1_58	343	1.3e-19
Lipoprotein_9	PF03180.14	236	DB2.contig1_59	269	2.9e-76
ABC_tran	PF00005.27	137	DB2.contig1_60	264	1.8e-34
SMC_N	PF02463.19	220	DB2.contig1_60	264	6.9e-05
AAA_22	PF13401.6	137	DB2.contig1_60	264	0.00024
AAA_16	PF13191.6	170	DB2.contig1_60	264	0.00025
AAA_29	PF13555.6	61	DB2.contig1_60	264	0.004
BPD_transp_1	PF00528.22	185	DB2.contig1_61	224	5e-20
NMO	PF03060.15	331	DB2.contig1_62	353	1.6e-77
IMPDH	PF00478.25	345	DB2.contig1_62	353	9.8e-06
NanE	PF04131.14	192	DB2.contig1_62	353	0.00055
ThiG	PF05690.14	247	DB2.contig1_62	353	0.0012
FMN_dh	PF01070.18	348	DB2.contig1_62	353	0.0033
His_biosynth	PF00977.21	229	DB2.contig1_62	353	0.0039
DHO_dh	PF01180.21	295	DB2.contig1_62	353	0.0049
LysR_substrate	PF03466.20	209	DB2.contig1_63	282	6.7e-26
HTH_1	PF00126.27	60	DB2.contig1_63	282	1.3e-18
MFS_4	PF06779.14	363	DB2.contig1_64	390	2.1e-80
MFS_1	PF07690.16	353	DB2.contig1_64	390	1.2e-13
GPDPase_memb	PF10110.9	320	DB2.contig1_64	390	0.012
MFS_1	PF07690.16	353	DB2.contig1_66	396	6.7e-27
MFS_1	PF07690.16	353	DB2.contig1_66	396	6.7e-27
DUF3265	PF11665.8	28	DB2.contig1_67	97	0.051
Methyltransf_23	PF13489.6	165	DB2.contig1_68	254	3e-13
Methyltransf_25	PF13649.6	97	DB2.contig1_68	254	8.4e-12
Methyltransf_31	PF13847.6	152	DB2.contig1_68	254	5.5e-10
Methyltransf_11	PF08241.12	96	DB2.contig1_68	254	1.4e-09
Methyltransf_12	PF08242.12	99	DB2.contig1_68	254	8.6e-09
FtsJ	PF01728.19	177	DB2.contig1_68	254	0.0061
CMD	PF02627.20	85	DB2.contig1_69	107	6e-20
Tautomerase_2	PF14552.6	82	DB2.contig1_70	127	1.5e-26
Acetyltransf_1	PF00583.25	117	DB2.contig1_72	171	1.8e-12
Acetyltransf_7	PF13508.7	76	DB2.contig1_72	171	5.3e-09
Acetyltransf_10	PF13673.7	127	DB2.contig1_72	171	5.6e-07
