target	acc	tlen	query	qlen	evalue
DUF932	PF06067.11	228	DB4.contig1_1	274	2e-57
Cytochrom_NNT	PF03264.14	174	DB4.contig1_3	106	0.014
SLT	PF01464.20	117	DB4.contig1_4	161	1.9e-21
Lys	PF00062.20	124	DB4.contig1_4	161	0.0081
Tra_M	PF05261.11	126	DB4.contig1_5	134	1.7e-05
HicB_lk_antitox	PF15919.5	123	DB4.contig1_5	134	0.0095
HATPase_c	PF02518.26	112	DB4.contig1_6	573	6.1e-27
Response_reg	PF00072.24	112	DB4.contig1_6	573	8e-15
HisKA	PF00512.25	67	DB4.contig1_6	573	1.2e-06
HATPase_c_5	PF14501.6	101	DB4.contig1_6	573	0.021
Oxidored_molyb	PF00174.19	172	DB4.contig1_7	168	0.00019
Glyco_transf_9	PF01075.17	249	DB4.contig1_8	332	0.00084
BetR	PF08667.10	148	DB4.contig1_9	282	1.9e-17
Response_reg	PF00072.24	112	DB4.contig1_9	282	7.1e-11
HTH_26	PF13443.6	63	DB4.contig1_9	282	0.0019
TraY	PF05509.11	49	DB4.contig1_10	68	1.3e-16
TraA	PF05513.11	120	DB4.contig1_11	102	2.2e-09
TraA	PF05513.11	120	DB4.contig1_12	102	3.2e-10
TraE	PF05309.11	182	DB4.contig1_13	192	5.4e-28
DUF5504	PF17608.2	124	DB4.contig1_13	192	0.0017
TraK	PF06586.11	231	DB4.contig1_14	240	4.3e-37
TrbI	PF03743.14	187	DB4.contig1_15	444	2.3e-26
TraV	PF09676.10	132	DB4.contig1_17	177	6.5e-11
TraC_F_IV	PF11130.8	238	DB4.contig1_18	874	4.6e-38
AAA_10	PF12846.7	362	DB4.contig1_18	874	2.7e-05
DUF87	PF01935.17	227	DB4.contig1_18	874	3.1e-05
TrbI_Ftype	PF09677.10	106	DB4.contig1_19	126	1.7e-19
OmpH	PF03938.14	138	DB4.contig1_19	126	0.0097
TraW_N	PF12477.8	30	DB4.contig1_20	211	0.063
TraU	PF06834.11	307	DB4.contig1_21	333	3.8e-112
