target	acc	tlen	query	qlen	evalue
DUF2997	PF11211.8	47	DD1.contig1_4	64	0.006
H2TH	PF06831.14	93	DD1.contig1_5	131	0.0044
AAA	PF00004.29	132	DD1.contig1_6	494	1.2e-25
AAA_2	PF07724.14	171	DD1.contig1_6	494	0.00017
AAA_lid_3	PF17862.1	45	DD1.contig1_6	494	0.0018
DDE_Tnp_IS66_C	PF13817.6	39	DD1.contig1_12	51	8.2e-18
RIG-I_C	PF18119.1	140	DD1.contig1_12	51	0.077
GST_N_3	PF13417.6	75	DD1.contig1_13	217	9.4e-16
GST_N_2	PF13409.6	70	DD1.contig1_13	217	1.2e-12
GST_N	PF02798.20	76	DD1.contig1_13	217	2.4e-12
GST_C	PF00043.25	93	DD1.contig1_13	217	2.3e-08
GST_C_2	PF13410.6	69	DD1.contig1_13	217	6.5e-06
GST_C_3	PF14497.6	99	DD1.contig1_13	217	5.7e-05
GST_N_4	PF17172.4	99	DD1.contig1_13	217	0.0005
Tom37	PF10568.9	125	DD1.contig1_13	217	0.00093
DSPc	PF00782.20	133	DD1.contig1_14	180	4.6e-05
Y_phosphatase3	PF13350.6	232	DD1.contig1_14	180	0.044
TAD2	PF18521.1	25	DD1.contig1_16	1123	0.034
Peptidase_S49	PF01343.18	154	DD1.contig1_19	319	1e-31
CLP_protease	PF00574.23	182	DD1.contig1_19	319	0.00085
DNA_methylase	PF00145.17	335	DD1.contig1_21	567	2.9e-24
DNA_methylase	PF00145.17	335	DD1.contig1_21	567	2.9e-24
Phage_prot_Gp6	PF05133.14	420	DD1.contig1_25	124	0.081
ParBc	PF02195.18	90	DD1.contig1_27	354	0.0011
RepB	PF07506.11	185	DD1.contig1_27	354	0.002
DUF1840	PF08895.11	108	DD1.contig1_35	160	0.0081
DUF1173	PF06666.11	386	DD1.contig1_38	366	1e-48
Tn7_Tnp_TnsA_N	PF08722.11	88	DD1.contig1_43	285	9e-26
Tn7_Tnp_TnsA_C	PF08721.11	83	DD1.contig1_43	285	0.025
rve	PF00665.26	119	DD1.contig1_44	723	3e-12
Mu-transpos_C	PF09299.11	61	DD1.contig1_44	723	2.5e-07
AAA_22	PF13401.6	137	DD1.contig1_45	484	8.7e-18
TniB	PF05621.11	189	DD1.contig1_45	484	1.9e-09
AAA_16	PF13191.6	170	DD1.contig1_45	484	0.002
ABC_tran	PF00005.27	137	DD1.contig1_45	484	0.0087
TnsD	PF15978.5	360	DD1.contig1_46	556	1.8e-29
TnsD	PF15978.5	360	DD1.contig1_46	556	1.8e-29
TniQ	PF06527.11	137	DD1.contig1_46	556	8.4e-18
ArfA	PF03889.13	44	DD1.contig2_2	58	0.097
