target	acc	tlen	query	qlen	evalue
GCV_T	PF01571.21	257	DGF2.contig1_1	428	1.9e-61
GCV_T_C	PF08669.11	80	DGF2.contig1_1	428	2.2e-16
SO_alpha_A3	PF17806.1	87	DGF2.contig1_1	428	0.00047
SoxG	PF04268.12	147	DGF2.contig1_1	428	0.083
EspF	PF04806.12	47	DGF2.contig1_2	178	0.024
SoxG	PF04268.12	147	DGF2.contig1_2	178	0.038
Phosphonate-bd	PF12974.7	243	DGF2.contig1_3	265	0.057
FMN_red	PF03358.15	155	DGF2.contig1_6	187	9.7e-30
Flavodoxin_2	PF02525.17	198	DGF2.contig1_6	187	1.4e-06
Acyl-CoA_dh_2	PF08028.11	134	DGF2.contig1_7	416	4.5e-29
Acyl-CoA_dh_1	PF00441.24	150	DGF2.contig1_7	416	4.1e-11
Acyl-CoA_dh_N	PF02771.16	113	DGF2.contig1_7	416	2e-08
Acyl-CoA_dh_N	PF02771.16	113	DGF2.contig1_7	416	2e-08
Acyl-CoA_dh_N	PF02771.16	113	DGF2.contig1_7	416	2e-08
Acyl-CoA_dh_M	PF02770.19	97	DGF2.contig1_7	416	1.2e-07
ATLF	PF07737.11	218	DGF2.contig1_7	416	0.0041
ABC_tran	PF00005.27	137	DGF2.contig1_8	264	2.2e-22
AAA_21	PF13304.6	303	DGF2.contig1_8	264	4.1e-10
AAA_21	PF13304.6	303	DGF2.contig1_8	264	4.1e-10
AAA_22	PF13401.6	137	DGF2.contig1_8	264	4.1e-05
AAA_29	PF13555.6	61	DGF2.contig1_8	264	9.1e-05
AAA_16	PF13191.6	170	DGF2.contig1_8	264	9.2e-05
AAA_30	PF13604.6	192	DGF2.contig1_8	264	0.0013
AAA_30	PF13604.6	192	DGF2.contig1_8	264	0.0013
AAA_27	PF13514.6	207	DGF2.contig1_8	264	0.015
SRP54	PF00448.22	196	DGF2.contig1_8	264	0.039
AAA_23	PF13476.6	200	DGF2.contig1_8	264	0.044
SMC_N	PF02463.19	220	DGF2.contig1_8	264	0.053
SMC_N	PF02463.19	220	DGF2.contig1_8	264	0.053
AAA	PF00004.29	132	DGF2.contig1_8	264	0.056
AAA	PF00004.29	132	DGF2.contig1_8	264	0.056
MukB	PF04310.12	226	DGF2.contig1_8	264	0.079
AAA_19	PF13245.6	146	DGF2.contig1_8	264	0.091
AAA_19	PF13245.6	146	DGF2.contig1_8	264	0.091
AAA_28	PF13521.6	163	DGF2.contig1_8	264	0.17
Peripla_BP_6	PF13458.6	342	DGF2.contig1_9	446	4.7e-74
TraF	PF13728.6	224	DGF2.contig1_9	446	0.14
ODAM	PF15424.6	264	DGF2.contig1_9	446	0.19
ODAM	PF15424.6	264	DGF2.contig1_9	446	0.19
BPD_transp_2	PF02653.16	268	DGF2.contig1_10	347	3.9e-33
BPD_transp_2	PF02653.16	268	DGF2.contig1_11	300	1.7e-27
ABC_tran	PF00005.27	137	DGF2.contig1_12	317	3.3e-28
BCA_ABC_TP_C	PF12399.8	23	DGF2.contig1_12	317	3.3e-12
AAA_21	PF13304.6	303	DGF2.contig1_12	317	0.00017
AAA_21	PF13304.6	303	DGF2.contig1_12	317	0.00017
AAA_29	PF13555.6	61	DGF2.contig1_12	317	0.0015
AAA_23	PF13476.6	200	DGF2.contig1_12	317	0.0023
SMC_N	PF02463.19	220	DGF2.contig1_12	317	0.0036
AAA_30	PF13604.6	192	DGF2.contig1_12	317	0.0038
RsgA_GTPase	PF03193.16	167	DGF2.contig1_12	317	0.0039
AAA_15	PF13175.6	369	DGF2.contig1_12	317	0.028
MMR_HSR1	PF01926.23	114	DGF2.contig1_12	317	0.029
