target	acc	tlen	query	qlen	evalue
Aminotran_1_2	PF00155.21	363	DT5.contig1_1	393	3.5e-55
Cys_Met_Meta_PP	PF01053.20	382	DT5.contig1_1	393	0.0017
Beta_elim_lyase	PF01212.21	293	DT5.contig1_1	393	0.0062
Abhydrolase_6	PF12697.7	220	DT5.contig1_2	244	2.2e-08
Abhydrolase_1	PF00561.20	257	DT5.contig1_2	244	9e-08
Hydrolase_4	PF12146.8	239	DT5.contig1_2	244	1.3e-06
Thioesterase	PF00975.20	231	DT5.contig1_2	244	0.00029
Methyltransf_11	PF08241.12	96	DT5.contig1_3	284	2.7e-21
Methyltransf_25	PF13649.6	97	DT5.contig1_3	284	2.7e-17
Methyltransf_23	PF13489.6	165	DT5.contig1_3	284	5.3e-14
Methyltransf_31	PF13847.6	152	DT5.contig1_3	284	1e-13
Methyltransf_12	PF08242.12	99	DT5.contig1_3	284	2.9e-10
Ubie_methyltran	PF01209.18	233	DT5.contig1_3	284	3.3e-10
FtsJ	PF01728.19	177	DT5.contig1_3	284	0.00027
Methyltransf_8	PF05148.15	219	DT5.contig1_3	284	0.00079
Methyltransf_29	PF03141.16	506	DT5.contig1_3	284	0.0064
AAA_26	PF13500.6	198	DT5.contig1_4	227	2.3e-40
CbiA	PF01656.23	128	DT5.contig1_4	227	7.9e-13
DUF1611	PF07755.11	200	DT5.contig1_4	227	0.0076
Flg_bbr_C	PF06429.13	74	DT5.contig1_5	94	0.038
Acyl-CoA_dh_C	PF12806.7	124	DT5.contig1_6	602	5.5e-35
Acyl-CoA_dh_1	PF00441.24	150	DT5.contig1_6	602	6.1e-20
Acyl-CoA_dh_M	PF02770.19	97	DT5.contig1_6	602	1.3e-18
Acyl-CoA_dh_N	PF02771.16	113	DT5.contig1_6	602	5.4e-13
AcylCoA_DH_N	PF12418.8	32	DT5.contig1_6	602	1.7e-11
GGDEF	PF00990.21	161	DT5.contig1_7	430	2.5e-31
Acyl-CoA_dh_C	PF12806.7	124	DT5.contig1_8	595	2.8e-37
Acyl-CoA_dh_1	PF00441.24	150	DT5.contig1_8	595	1.9e-25
Acyl-CoA_dh_M	PF02770.19	97	DT5.contig1_8	595	6.2e-17
Acyl-CoA_dh_N	PF02771.16	113	DT5.contig1_8	595	6.5e-17
AcylCoA_DH_N	PF12418.8	32	DT5.contig1_8	595	2e-08
Acyl-CoA_dh_C	PF12806.7	124	DT5.contig1_9	593	5.2e-35
Acyl-CoA_dh_1	PF00441.24	150	DT5.contig1_9	593	3.8e-22
Acyl-CoA_dh_M	PF02770.19	97	DT5.contig1_9	593	2.7e-17
AcylCoA_DH_N	PF12418.8	32	DT5.contig1_9	593	5.9e-13
Acyl-CoA_dh_N	PF02771.16	113	DT5.contig1_9	593	1.4e-11
LysR_substrate	PF03466.20	209	DT5.contig1_10	297	7.6e-37
HTH_1	PF00126.27	60	DT5.contig1_10	297	5.6e-22
Aminotran_3	PF00202.21	406	DT5.contig1_11	427	7.6e-82
Beta_elim_lyase	PF01212.21	293	DT5.contig1_11	427	0.019
Pmp3	PF01679.17	49	DT5.contig1_12	53	8.1e-22
Radical_SAM	PF04055.21	167	DT5.contig1_13	387	2.4e-24
SPASM	PF13186.6	68	DT5.contig1_13	387	4.4e-09
Fer4_12	PF13353.6	139	DT5.contig1_13	387	8.1e-08
Fer4_14	PF13394.6	118	DT5.contig1_13	387	9.4e-08
PqqD	PF05402.12	67	DT5.contig1_14	92	4e-14
TENA_THI-4	PF03070.16	210	DT5.contig1_15	251	2.5e-65
Haem_oxygenas_2	PF14518.6	178	DT5.contig1_15	251	0.0015
Lactamase_B_2	PF12706.7	201	DT5.contig1_16	304	2.5e-49
PqqA	PF08042.11	19	DT5.contig1_17	41	4.4e-10
Peptidase_M16	PF00675.20	149	DT5.contig1_18	791	1.8e-33
Peptidase_M16_C	PF05193.21	183	DT5.contig1_18	791	2.7e-15
Peptidase_M16_C	PF05193.21	183	DT5.contig1_18	791	2.7e-15
CN_hydrolase	PF00795.22	261	DT5.contig1_19	265	1.6e-57
Amino_oxidase	PF01593.24	452	DT5.contig1_20	568	2.8e-41
NAD_binding_8	PF13450.6	68	DT5.contig1_20	568	9.2e-10
DAO	PF01266.24	352	DT5.contig1_20	568	0.00013
FAD_binding_2	PF00890.24	417	DT5.contig1_20	568	0.00052
Pyr_redox_2	PF07992.14	294	DT5.contig1_20	568	0.0009
Thi4	PF01946.17	235	DT5.contig1_20	568	0.0021
AsnC_trans_reg	PF01037.21	75	DT5.contig1_21	154	4.6e-16
HTH_AsnC-type	PF13404.6	42	DT5.contig1_21	154	3.1e-14
HTH_24	PF13412.6	48	DT5.contig1_21	154	2.4e-09
MarR_2	PF12802.7	62	DT5.contig1_21	154	8.7e-05
HTH_50	PF18024.1	50	DT5.contig1_21	154	0.00023
HTH_Crp_2	PF13545.6	68	DT5.contig1_21	154	0.0014
HTH_30	PF13556.6	59	DT5.contig1_21	154	0.0023
HTH_28	PF13518.6	52	DT5.contig1_21	154	0.0029
PQQ	PF01011.21	38	DT5.contig1_22	787	2.1e-30
PQQ	PF01011.21	38	DT5.contig1_22	787	2.1e-30
PQQ	PF01011.21	38	DT5.contig1_22	787	2.1e-30
