target	acc	tlen	query	qlen	evalue
DUF4487	PF14868.6	552	DDN.contig1_6	60	0.024
AIG1	PF04548.16	212	DDN.contig1_10	490	9.4e-15
MMR_HSR1	PF01926.23	114	DDN.contig1_10	490	3.5e-08
RsgA_GTPase	PF03193.16	167	DDN.contig1_10	490	4.9e-05
IstB_IS21	PF01695.17	178	DDN.contig1_10	490	9.4e-05
Dynamin_N	PF00350.23	168	DDN.contig1_10	490	0.0011
Ras	PF00071.22	162	DDN.contig1_10	490	0.0049
Roc	PF08477.13	120	DDN.contig1_10	490	0.007
DUF5477	PF17571.2	77	DDN.contig1_16	151	0.048
DUF1496	PF07383.12	53	DDN.contig1_19	100	0.0079
SPC25	PF06703.11	162	DDN.contig1_20	187	8.2e-15
L1R_F9L	PF02442.17	196	DDN.contig1_20	187	0.031
DUF4281	PF14108.6	127	DDN.contig1_21	121	0.031
TFIIIC_sub6	PF10419.9	94	DDN.contig1_22	69	3.5e-10
Activator-TraM	PF11657.8	142	DDN.contig1_23	190	0.1
MFS_4	PF06779.14	363	DDN.contig2_2	383	3.3e-87
MFS_1	PF07690.16	353	DDN.contig2_2	383	4.6e-12
MFS_1	PF07690.16	353	DDN.contig2_2	383	4.6e-12
LysR_substrate	PF03466.20	209	DDN.contig2_3	290	7.4e-30
HTH_1	PF00126.27	60	DDN.contig2_3	290	6.3e-16
NMO	PF03060.15	331	DDN.contig2_4	354	1e-80
IMPDH	PF00478.25	345	DDN.contig2_4	354	2.2e-09
IMPDH	PF00478.25	345	DDN.contig2_4	354	2.2e-09
DHO_dh	PF01180.21	295	DDN.contig2_4	354	0.0005
FMN_dh	PF01070.18	348	DDN.contig2_4	354	0.00085
His_biosynth	PF00977.21	229	DDN.contig2_4	354	0.0012
DUF2471	PF10616.9	124	DDN.contig2_5	135	3.6e-51
XdhC_C	PF13478.6	125	DDN.contig2_7	350	1.3e-37
XdhC_CoxI	PF02625.16	68	DDN.contig2_7	350	1.1e-21
FAD_binding_5	PF00941.21	171	DDN.contig2_8	291	4.1e-27
CO_deh_flav_C	PF03450.17	103	DDN.contig2_8	291	1.1e-05
Fer2_2	PF01799.20	76	DDN.contig2_9	161	1.2e-25
Fer2_3	PF13085.6	109	DDN.contig2_9	161	1e-05
Fer2	PF00111.27	78	DDN.contig2_9	161	0.0047
Ald_Xan_dh_C2	PF02738.18	550	DDN.contig2_10	788	2.2e-137
Ald_Xan_dh_C	PF01315.22	110	DDN.contig2_10	788	2.8e-20
AAA_5	PF07728.14	138	DDN.contig2_11	317	1.2e-11
AAA	PF00004.29	132	DDN.contig2_11	317	1.5e-08
AAA_3	PF07726.11	131	DDN.contig2_11	317	3e-07
AAA_16	PF13191.6	170	DDN.contig2_11	317	6.1e-06
AAA_22	PF13401.6	137	DDN.contig2_11	317	1.8e-05
AAA_2	PF07724.14	171	DDN.contig2_11	317	0.00034
AAA_18	PF13238.6	130	DDN.contig2_11	317	0.00061
NACHT	PF05729.12	166	DDN.contig2_11	317	0.00071
AAA_6	PF12774.7	327	DDN.contig2_11	317	0.0014
AAA_19	PF13245.6	146	DDN.contig2_11	317	0.0042
VWA_CoxE	PF05762.14	223	DDN.contig2_12	357	3.9e-32
VWA_2	PF13519.6	107	DDN.contig2_12	357	0.00045
DUF2712	PF10916.8	115	DDN.contig2_13	67	0.15
AAA_22	PF13401.6	137	DDN.contig2_14	265	5.1e-19
AAA_16	PF13191.6	170	DDN.contig2_14	265	4.9e-08
AAA_30	PF13604.6	192	DDN.contig2_14	265	3.1e-07
DUF2075	PF09848.9	363	DDN.contig2_14	265	0.00026
rve	PF00665.26	119	DDN.contig2_15	450	1.5e-22
HTH_32	PF13565.6	73	DDN.contig2_15	450	2.3e-08
rve_3	PF13683.6	67	DDN.contig2_15	450	2.1e-06
Mu-transpos_C	PF09299.11	61	DDN.contig2_15	450	0.00023
HTH_28	PF13518.6	52	DDN.contig2_16	178	5.4e-05
HTH_23	PF13384.6	50	DDN.contig2_16	178	0.0019
HTH_29	PF13551.6	63	DDN.contig2_16	178	0.0099
HTH_Tnp_IS630	PF01710.16	119	DDN.contig2_16	178	0.019
Transp_cyt_pur	PF02133.15	440	DDN.contig2_17	464	1.9e-08
CT_A_B	PF02626.15	264	DDN.contig2_18	108	1.4e-09
Ribosomal_L7Ae	PF01248.26	95	DDN.contig3_1	64	3.7e-08
Nop	PF01798.18	230	DDN.contig3_3	552	4.3e-67
Prp31_C	PF09785.9	120	DDN.contig3_3	552	8.7e-17
BCNT	PF07572.12	75	DDN.contig3_5	236	8.5e-19
GTP_EFTU	PF00009.27	194	DDN.contig3_9	454	8.5e-41
GTP_EFTU_D3	PF03143.17	112	DDN.contig3_9	454	2.2e-23
GTP_EFTU_D2	PF03144.25	74	DDN.contig3_9	454	0.0004
GTP_EFTU_D4	PF14578.6	86	DDN.contig3_9	454	0.0022
ASTN_2_hairpin	PF18577.1	47	DDN.contig3_10	51	0.11
DUF900	PF05990.12	234	DDN.contig3_13	205	6.3e-05
DUF726	PF05277.12	343	DDN.contig3_13	205	0.00016
Ser_hydrolase	PF06821.13	171	DDN.contig3_13	205	0.00039
Myb_DNA-bind_2	PF08914.11	65	DDN.contig3_14	393	0.0019
DUF1754	PF08555.10	98	DDN.contig3_16	125	0.043
STI1	PF17830.1	55	DDN.contig4_1	815	0.01
CNP_C_terminal	PF17839.1	108	DDN.contig4_2	343	0.0034
YadA_stalk	PF05662.14	43	DDN.contig4_3	272	0.0022
YadA_stalk	PF05662.14	43	DDN.contig4_4	269	5e-06
AMNp_N	PF10423.9	156	DDN.contig4_10	517	1.9e-56
tRNA_synthFbeta	PF17759.1	214	DDN.contig4_11	340	0.0099
Channel_Tsx	PF03502.13	245	DDN.contig5_1	313	1.2e-66
HTH_18	PF12833.7	81	DDN.contig5_2	317	1.1e-23
HTH_AraC	PF00165.23	42	DDN.contig5_2	317	1.2e-12
AraC_binding	PF02311.19	136	DDN.contig5_2	317	0.00013
SBP_bac_1	PF01547.25	315	DDN.contig5_3	437	1.9e-52
SBP_bac_8	PF13416.6	282	DDN.contig5_3	437	1e-27
adh_short_C2	PF13561.6	234	DDN.contig5_4	258	1.6e-57
adh_short	PF00106.25	195	DDN.contig5_4	258	3.7e-54
KR	PF08659.10	180	DDN.contig5_4	258	9.7e-09
3Beta_HSD	PF01073.19	280	DDN.contig5_4	258	0.0012
Epimerase	PF01370.21	241	DDN.contig5_4	258	0.0015
Isochorismatase	PF00857.20	175	DDN.contig5_6	216	2.5e-21
NAPRTase	PF04095.16	241	DDN.contig5_7	409	2.9e-70
NAPRTase_N	PF17767.1	125	DDN.contig5_7	409	4.8e-26
NAD_synthase	PF02540.17	242	DDN.contig5_8	272	1.1e-61
FAD_binding_4	PF01565.23	139	DDN.contig6_1	748	2.8e-24
ALO	PF04030.14	260	DDN.contig6_1	748	3.2e-07
NMDAR2_C	PF10565.9	664	DDN.contig6_4	101	0.083
XRN_N	PF03159.18	242	DDN.contig6_7	111	8.3e-17
DUF5644	PF18712.1	109	DDN.contig6_7	111	0.0068
